ID,Location,Date,Time,Replicate,Collecter,Type,Comment,"This cell checks to make sure the ID and the Sample Name match - If its blank, its good!",Analyzed on Machine,Sample Name,Processed Delta 2H,Processed Delta 2H StDev,Processed Delta 18O,Processed Delta 18O StDev,Processed Delta 17O,Processed Delta 17O StDev,Comments,,
1208,Adams 1,7/18/2024,,1,,Stream,,,7/19/2024,1208,-46.782657,3.31E-01,-7.601714,2.41E-02,-3.808904,5.93E-02,,,
1209,Adams 2,7/18/2024,,1,,Stream,,,7/19/2024,1209,-47.7551,2.79E-01,-7.779235,2.08E-02,-4.005208,2.69E-02,1 fvol,,
1210,Adams 3,7/18/2024,,1,,Stream,,,7/19/2024,1210,-46.263993,6.67E-01,-7.585059,1.01E-01,-3.841913,6.46E-02,,,
1211,Amethyst 1,7/18/2024,,1,,Stream,,,7/19/2024,1211,-44.228673,1.00E+00,-7.392766,5.02E-02,-3.823542,8.30E-02,5 2Hck,,
1308,Atkins Reservoir,8/23/2024,4:28:00 PM,1,"RV, RC",Stream,"6: Atkins Reservoir ""Boat Launch""",,8/26/2024,1308,-42.460966,1.52E-01,-6.328725,6.27E-02,-3.57109,4.38E-02,,,
1442,Atkins Reservoir,11/16/2024,11:30:00 AM,1,"RV, RC",Stream,,,12/3/2024,1442,-42.834817,2.72E-01,-4.964205,4.14E-02,-2.443255,4.46E-02,,,
1305,Below puffers water fall,8/23/2024,3:55:00 PM,1,"RV, RC",Stream,"3: Big black snake slithered into the water, right below the waterfall",,8/26/2024,1305,-48.705667,1.48E+00,-7.738765,1.93E-01,-4.260768,4.28E-02,,,
1309,Broad Hill - Roaring,8/23/2024,4:47:00 PM,1,"RV, RC",Stream,7: Just above Broad Hill Rd (on other side of main road where Broad Hill stems from),,8/26/2024,1309,-51.136625,3.37E-01,-8.238188,9.46E-02,-4.606355,4.68E-02,,,
1439,Broad Hill Rd,11/16/2024,10:52:00 AM,1,"RV, RC",Stream,Iscoscape and 13_sites data below were collected on the same day so can be processed together for isoscape analysis,,12/3/2024,1439,-55.241967,5.23E-01,-7.820822,8.11E-02,-3.79259,1.08E-02,,,
3,Campus Pond Down,6/3/2021,11:05:00 AM,3,CO,Surface,,,7/7/2022,3,-54.137338,1.30E-01,-8.058242,3.01E-02,-4.22E+00,1.82E-02,,,
6,Campus Pond Down,6/8/2021,-,3,CO,Surface,,,7/7/2022,6,-36.742311,3.30E-01,-5.623128,3.77E-02,-2.97E+00,2.81E-02,,,
10,Campus Pond Down,6/10/2021,-,3,CO,Surface,,,7/19/2022,10,-35.981319,1.62E-01,-5.302409,5.50E-02,-2.83E+00,4.06E-02,,,
17,Campus Pond Down,6/16/2021,-,3,CO,Surface,,,7/20/2022,17,-49.202761,1.04E+00,-7.812868,1.17E-01,-4.24E+00,5.46E-02,4-2Hchk warnings,,
22,Campus Pond Down,6/22/2021,-,3,CO,Surface,,,7/20/2022,22,-51.527363,1.84E+00,-7.741633,1.81E-01,-4.07E+00,9.65E-02,,,
26,Campus Pond Down,6/23/2021,-,3,CO,Surface,,,7/25/2022,26,-54.463581,2.04E-01,-8.073305,7.05E-03,-4.27E+00,8.37E-02,,,
